input,output,len_sequence,bins
O E O E O A O A U E I O A E U U O E O O E E O U A A U I,"OE,EO,OE,EO,OA,AO,OA,AU,UE,EI,IO,OA,AE,EU,UU,UO,OE,EO,OO,OE,EE,EO,OU,UA,AA,AU,UI",28,23~45
U I A I A U I U O U E A O I I I E O A O I O O O I O E U U U O A U O O U O O,"UI,IA,AI,IA,AU,UI,IU,UO,OU,UE,EA,AO,OI,II,II,IE,EO,OA,AO,OI,IO,OO,OO,OI,IO,OE,EU,UU,UU,UO,OA,AU,UO,OO,OU,UO,OO",38,23~45
E E U U A E O U O O E E O I U E U O I U A O A O E E E I U O I I U U E I E U O O A U A,"EE,EU,UU,UA,AE,EO,OU,UO,OO,OE,EE,EO,OI,IU,UE,EU,UO,OI,IU,UA,AO,OA,AO,OE,EE,EE,EI,IU,UO,OI,II,IU,UU,UE,EI,IE,EU,UO,OO,OA,AU,UA",43,23~45
A A I A I O O I U A A A U I O A U I E O E E E E U A,"AA,AI,IA,AI,IO,OO,OI,IU,UA,AA,AA,AU,UI,IO,OA,AU,UI,IE,EO,OE,EE,EE,EE,EU,UA",26,23~45
E I O I E A O E I I A A O O A U E O E I A E I,"EI,IO,OI,IE,EA,AO,OE,EI,II,IA,AA,AO,OO,OA,AU,UE,EO,OE,EI,IA,AE,EI",23,23~45
A E E E A I U A E A E E U U I A E E E O I A I O I I O U A E I A O E A A E O O,"AE,EE,EE,EA,AI,IU,UA,AE,EA,AE,EE,EU,UU,UI,IA,AE,EE,EE,EO,OI,IA,AI,IO,OI,II,IO,OU,UA,AE,EI,IA,AO,OE,EA,AA,AE,EO,OO",39,23~45
U E E I E I I I I O I A I A E E E E I O E E A U A U I I A O A I I I A O I O E O E E A E E O U A O E U O I A,"UE,EE,EI,IE,EI,II,II,II,IO,OI,IA,AI,IA,AE,EE,EE,EE,EI,IO,OE,EE,EA,AU,UA,AU,UI,II,IA,AO,OA,AI,II,II,IA,AO,OI,IO,OE,EO,OE,EE,EA,AE,EE,EO,OU,UA,AO,OE,EU,UO,OI,IA",54,45~67
O A A O E I U E E U E U U O I O E A U A U E A E U E E I O I I E O I I E E O I I E A E E E U I O O E E O U E O O O U O,"OA,AA,AO,OE,EI,IU,UE,EE,EU,UE,EU,UU,UO,OI,IO,OE,EA,AU,UA,AU,UE,EA,AE,EU,UE,EE,EI,IO,OI,II,IE,EO,OI,II,IE,EE,EO,OI,II,IE,EA,AE,EE,EE,EU,UI,IO,OO,OE,EE,EO,OU,UE,EO,OO,OO,OU,UO",59,45~67
A A E I O A O O O A E E A A E E O E A A E A O O A A U I I E I A O O E U I I U I O I U E A A,"AA,AE,EI,IO,OA,AO,OO,OO,OA,AE,EE,EA,AA,AE,EE,EO,OE,EA,AA,AE,EA,AO,OO,OA,AA,AU,UI,II,IE,EI,IA,AO,OO,OE,EU,UI,II,IU,UI,IO,OI,IU,UE,EA,AA",46,45~67
I A A O U O A A A U A O A U U O O U I U O O E A I A E O E A E A A U E A E I O U U E A O A O E E E O E U E I A,"IA,AA,AO,OU,UO,OA,AA,AA,AU,UA,AO,OA,AU,UU,UO,OO,OU,UI,IU,UO,OO,OE,EA,AI,IA,AE,EO,OE,EA,AE,EA,AA,AU,UE,EA,AE,EI,IO,OU,UU,UE,EA,AO,OA,AO,OE,EE,EE,EO,OE,EU,UE,EI,IA",55,45~67
I E U A U A U O E O O I O E A O O A U E E E E A I I E A A I A E O O E O O A I I I I E E O O A E A I A E U I A E U O I I I I I O,"IE,EU,UA,AU,UA,AU,UO,OE,EO,OO,OI,IO,OE,EA,AO,OO,OA,AU,UE,EE,EE,EE,EA,AI,II,IE,EA,AA,AI,IA,AE,EO,OO,OE,EO,OO,OA,AI,II,II,II,IE,EE,EO,OO,OA,AE,EA,AI,IA,AE,EU,UI,IA,AE,EU,UO,OI,II,II,II,II,IO",64,45~67
A U A A E I A O A E A E I I O I A O A I E U A O U A U A U O U A A E A E U I O E O I I E U A I E U E U O U A O I A O U A O O,"AU,UA,AA,AE,EI,IA,AO,OA,AE,EA,AE,EI,II,IO,OI,IA,AO,OA,AI,IE,EU,UA,AO,OU,UA,AU,UA,AU,UO,OU,UA,AA,AE,EA,AE,EU,UI,IO,OE,EO,OI,II,IE,EU,UA,AI,IE,EU,UE,EU,UO,OU,UA,AO,OI,IA,AO,OU,UA,AO,OO",62,45~67
E E E A A E I O U A I A O A A E A U A O I A I U O A A E O A O O U O O I A O O E A I U E O A A E U I O,"EE,EE,EA,AA,AE,EI,IO,OU,UA,AI,IA,AO,OA,AA,AE,EA,AU,UA,AO,OI,IA,AI,IU,UO,OA,AA,AE,EO,OA,AO,OO,OU,UO,OO,OI,IA,AO,OO,OE,EA,AI,IU,UE,EO,OA,AA,AE,EU,UI,IO",51,45~67
O E I O E I I I O A E U A A U A O I A A O O A E O U A U E I I A A O O E O E U U E E E A U E O E I U A U I A U E E E,"OE,EI,IO,OE,EI,II,II,IO,OA,AE,EU,UA,AA,AU,UA,AO,OI,IA,AA,AO,OO,OA,AE,EO,OU,UA,AU,UE,EI,II,IA,AA,AO,OO,OE,EO,OE,EU,UU,UE,EE,EE,EA,AU,UE,EO,OE,EI,IU,UA,AU,UI,IA,AU,UE,EE,EE",58,45~67
E A E E I O E O E O U I U I E A I O E U U A E U I O I O I I U I O E A I U A E A A O E E O O I O E U U A A O U O U E U O A U I A,"EA,AE,EE,EI,IO,OE,EO,OE,EO,OU,UI,IU,UI,IE,EA,AI,IO,OE,EU,UU,UA,AE,EU,UI,IO,OI,IO,OI,II,IU,UI,IO,OE,EA,AI,IU,UA,AE,EA,AA,AO,OE,EE,EO,OO,OI,IO,OE,EU,UU,UA,AA,AO,OU,UO,OU,UE,EU,UO,OA,AU,UI,IA",64,45~67
O E E O A E U A I U O E A I U U I E O E O A A A I A A I U I I U A E E E A E E A O I A E A U U O U E I I E,"OE,EE,EO,OA,AE,EU,UA,AI,IU,UO,OE,EA,AI,IU,UU,UI,IE,EO,OE,EO,OA,AA,AA,AI,IA,AA,AI,IU,UI,II,IU,UA,AE,EE,EE,EA,AE,EE,EA,AO,OI,IA,AE,EA,AU,UU,UO,OU,UE,EI,II,IE",53,45~67
A I O O A I E A A E A O U A A I U U O E U O O A A E A U A A O E I I E O U E I I U U E A O I E O I O I E A U,"AI,IO,OO,OA,AI,IE,EA,AA,AE,EA,AO,OU,UA,AA,AI,IU,UU,UO,OE,EU,UO,OO,OA,AA,AE,EA,AU,UA,AA,AO,OE,EI,II,IE,EO,OU,UE,EI,II,IU,UU,UE,EA,AO,OI,IE,EO,OI,IO,OI,IE,EA,AU",54,45~67
I I I O I U E I U I A U E I I I O A E A O I E A I E A I U A O A O A E I O A O A A A U O U A I E I U A U,"II,II,IO,OI,IU,UE,EI,IU,UI,IA,AU,UE,EI,II,II,IO,OA,AE,EA,AO,OI,IE,EA,AI,IE,EA,AI,IU,UA,AO,OA,AO,OA,AE,EI,IO,OA,AO,OA,AA,AA,AU,UO,OU,UA,AI,IE,EI,IU,UA,AU",52,45~67
E I E E E O O I A A U I O U E I I A I O I E E U O A U A O E O I O U U E U E I I O A O O O O I U I E I A A U I O E,"EI,IE,EE,EE,EO,OO,OI,IA,AA,AU,UI,IO,OU,UE,EI,II,IA,AI,IO,OI,IE,EE,EU,UO,OA,AU,UA,AO,OE,EO,OI,IO,OU,UU,UE,EU,UE,EI,II,IO,OA,AO,OO,OO,OO,OI,IU,UI,IE,EI,IA,AA,AU,UI,IO,OE",57,45~67
O O I E I U A I U A O E E A I A I I O E I A O E E A E O U E A E U I U O O O I O I U E O U E I U U,"OO,OI,IE,EI,IU,UA,AI,IU,UA,AO,OE,EE,EA,AI,IA,AI,II,IO,OE,EI,IA,AO,OE,EE,EA,AE,EO,OU,UE,EA,AE,EU,UI,IU,UO,OO,OO,OI,IO,OI,IU,UE,EO,OU,UE,EI,IU,UU",49,45~67
O O O I U E O O I O A I I I U O O U E I A O O I O O E A U I E I E I E E E I O A O E O E U E A O U U A O E A E,"OO,OO,OI,IU,UE,EO,OO,OI,IO,OA,AI,II,II,IU,UO,OO,OU,UE,EI,IA,AO,OO,OI,IO,OO,OE,EA,AU,UI,IE,EI,IE,EI,IE,EE,EE,EI,IO,OA,AO,OE,EO,OE,EU,UE,EA,AO,OU,UU,UA,AO,OE,EA,AE",55,45~67
O I O O E U A I E I U E I O I E I A O E U O U U O E I I O E E A O E O E E U U O A U A A I O A I U I I O U A E O A U A E A I U O I,"OI,IO,OO,OE,EU,UA,AI,IE,EI,IU,UE,EI,IO,OI,IE,EI,IA,AO,OE,EU,UO,OU,UU,UO,OE,EI,II,IO,OE,EE,EA,AO,OE,EO,OE,EE,EU,UU,UO,OA,AU,UA,AA,AI,IO,OA,AI,IU,UI,II,IO,OU,UA,AE,EO,OA,AU,UA,AE,EA,AI,IU,UO,OI",65,45~67
A A E U E E E O O I I O U A I O U O E A U I U O U A O U A I E I A I I A I E U A E U E O I I O O U A I I I E O E E U U A U U U U,"AA,AE,EU,UE,EE,EE,EO,OO,OI,II,IO,OU,UA,AI,IO,OU,UO,OE,EA,AU,UI,IU,UO,OU,UA,AO,OU,UA,AI,IE,EI,IA,AI,II,IA,AI,IE,EU,UA,AE,EU,UE,EO,OI,II,IO,OO,OU,UA,AI,II,II,IE,EO,OE,EE,EU,UU,UA,AU,UU,UU,UU",64,45~67
O A O E A E I O O O U O O E U I A I I I O U E E I O I A O O U U I O I A O U E E O I O U I O A A A A,"OA,AO,OE,EA,AE,EI,IO,OO,OO,OU,UO,OO,OE,EU,UI,IA,AI,II,II,IO,OU,UE,EE,EI,IO,OI,IA,AO,OO,OU,UU,UI,IO,OI,IA,AO,OU,UE,EE,EO,OI,IO,OU,UI,IO,OA,AA,AA,AA",50,45~67
U U O U O A O I O A E I O U E I E A U U E O U I E E U O O U I U E U A O I I E E O I U A A A U U A E O E I I O O I E U,"UU,UO,OU,UO,OA,AO,OI,IO,OA,AE,EI,IO,OU,UE,EI,IE,EA,AU,UU,UE,EO,OU,UI,IE,EE,EU,UO,OO,OU,UI,IU,UE,EU,UA,AO,OI,II,IE,EE,EO,OI,IU,UA,AA,AA,AU,UU,UA,AE,EO,OE,EI,II,IO,OO,OI,IE,EU",59,45~67
O O U A A I I O O O U O U E O A O U A O O A A O E A O O U E A A A O O E A O A U U I I A U E E O O E A U I E E U U U,"OO,OU,UA,AA,AI,II,IO,OO,OO,OU,UO,OU,UE,EO,OA,AO,OU,UA,AO,OO,OA,AA,AO,OE,EA,AO,OO,OU,UE,EA,AA,AA,AO,OO,OE,EA,AO,OA,AU,UU,UI,II,IA,AU,UE,EE,EO,OO,OE,EA,AU,UI,IE,EE,EU,UU,UU",58,45~67
E E U E E I U U A I I I I A O I E E U I O O A E O A I E A O O O O I A U O A O E I O A O A I A U U E I A O A O I O E A O I,"EE,EU,UE,EE,EI,IU,UU,UA,AI,II,II,II,IA,AO,OI,IE,EE,EU,UI,IO,OO,OA,AE,EO,OA,AI,IE,EA,AO,OO,OO,OO,OI,IA,AU,UO,OA,AO,OE,EI,IO,OA,AO,OA,AI,IA,AU,UU,UE,EI,IA,AO,OA,AO,OI,IO,OE,EA,AO,OI",61,45~67
E A I O U U E U A U U U E U A O A E O A A E U E O E E A O E O I U O O U A U A U I U A O A E O E I U I A I E A I U,"EA,AI,IO,OU,UU,UE,EU,UA,AU,UU,UU,UE,EU,UA,AO,OA,AE,EO,OA,AA,AE,EU,UE,EO,OE,EE,EA,AO,OE,EO,OI,IU,UO,OO,OU,UA,AU,UA,AU,UI,IU,UA,AO,OA,AE,EO,OE,EI,IU,UI,IA,AI,IE,EA,AI,IU",57,45~67
E O A O A I A I E E U O O U E E E O A A E O O U E A E U I U E O A O I E I I O I O O I O A O E O I A O I,"EO,OA,AO,OA,AI,IA,AI,IE,EE,EU,UO,OO,OU,UE,EE,EE,EO,OA,AA,AE,EO,OO,OU,UE,EA,AE,EU,UI,IU,UE,EO,OA,AO,OI,IE,EI,II,IO,OI,IO,OO,OI,IO,OA,AO,OE,EO,OI,IA,AO,OI",52,45~67
A E O I O I A U O U O O A E I A E E O O I I O U E O U O O A E O E A I A A I U I O O O I E I I E U O O I O O I O O A A U E A O E,"AE,EO,OI,IO,OI,IA,AU,UO,OU,UO,OO,OA,AE,EI,IA,AE,EE,EO,OO,OI,II,IO,OU,UE,EO,OU,UO,OO,OA,AE,EO,OE,EA,AI,IA,AA,AI,IU,UI,IO,OO,OO,OI,IE,EI,II,IE,EU,UO,OO,OI,IO,OO,OI,IO,OO,OA,AA,AU,UE,EA,AO,OE",64,45~67
O A O A A I O U U A U A I E A E A E O E I A E O I E U E O U O A E U U U O U A E U U I I E A I U E E U E A O O U,"OA,AO,OA,AA,AI,IO,OU,UU,UA,AU,UA,AI,IE,EA,AE,EA,AE,EO,OE,EI,IA,AE,EO,OI,IE,EU,UE,EO,OU,UO,OA,AE,EU,UU,UU,UO,OU,UA,AE,EU,UU,UI,II,IE,EA,AI,IU,UE,EE,EU,UE,EA,AO,OO,OU",56,45~67
U I A A O E O U E E A E U E A I O A O E U I A A A O A U U U U E A U U A I I U U A E E A A U O A U I I I,"UI,IA,AA,AO,OE,EO,OU,UE,EE,EA,AE,EU,UE,EA,AI,IO,OA,AO,OE,EU,UI,IA,AA,AA,AO,OA,AU,UU,UU,UU,UE,EA,AU,UU,UA,AI,II,IU,UU,UA,AE,EE,EA,AA,AU,UO,OA,AU,UI,II,II",52,45~67
A A I O A I I A E E E I A I A A O O A U I O O E O I O I U A A I E I A U E O O A I E A E A I I O I E A I I I I O,"AA,AI,IO,OA,AI,II,IA,AE,EE,EE,EI,IA,AI,IA,AA,AO,OO,OA,AU,UI,IO,OO,OE,EO,OI,IO,OI,IU,UA,AA,AI,IE,EI,IA,AU,UE,EO,OO,OA,AI,IE,EA,AE,EA,AI,II,IO,OI,IE,EA,AI,II,II,II,IO",56,45~67
U I E O U E O E E U E E U U O A A O O O I O E I E I O A A I E U O E E E U E O U U I O O O E I E U,"UI,IE,EO,OU,UE,EO,OE,EE,EU,UE,EE,EU,UU,UO,OA,AA,AO,OO,OO,OI,IO,OE,EI,IE,EI,IO,OA,AA,AI,IE,EU,UO,OE,EE,EE,EU,UE,EO,OU,UU,UI,IO,OO,OO,OE,EI,IE,EU",49,45~67
O I U O E O I O E O A O U I U O O O I U E O U I O E O U E I O U U U I I I I I O E U U E O A O U A U I,"OI,IU,UO,OE,EO,OI,IO,OE,EO,OA,AO,OU,UI,IU,UO,OO,OO,OI,IU,UE,EO,OU,UI,IO,OE,EO,OU,UE,EI,IO,OU,UU,UU,UI,II,II,II,II,IO,OE,EU,UU,UE,EO,OA,AO,OU,UA,AU,UI",51,45~67
U O O U I E U U U O U O I A U A U O A O E U I I A A U I A I I O O A U U E I E E A E U O O O U O O O A O O U A E E A O U A E O,"UO,OO,OU,UI,IE,EU,UU,UU,UO,OU,UO,OI,IA,AU,UA,AU,UO,OA,AO,OE,EU,UI,II,IA,AA,AU,UI,IA,AI,II,IO,OO,OA,AU,UU,UE,EI,IE,EE,EA,AE,EU,UO,OO,OO,OU,UO,OO,OO,OA,AO,OO,OU,UA,AE,EE,EA,AO,OU,UA,AE,EO",63,45~67
I A E E U A O A U A I E U I U E U U A A A O I E A A A A U I E O O O U E I I O U U U I A O E U A E A O A U I,"IA,AE,EE,EU,UA,AO,OA,AU,UA,AI,IE,EU,UI,IU,UE,EU,UU,UA,AA,AA,AO,OI,IE,EA,AA,AA,AA,AU,UI,IE,EO,OO,OO,OU,UE,EI,II,IO,OU,UU,UU,UI,IA,AO,OE,EU,UA,AE,EA,AO,OA,AU,UI",54,45~67
A E U O E E E A I E I I U U U O U E U E E U E A O I O E U E E I U A O U E I E I U I E O I U U E I A U U O O U A A E E O,"AE,EU,UO,OE,EE,EE,EA,AI,IE,EI,II,IU,UU,UU,UO,OU,UE,EU,UE,EE,EU,UE,EA,AO,OI,IO,OE,EU,UE,EE,EI,IU,UA,AO,OU,UE,EI,IE,EI,IU,UI,IE,EO,OI,IU,UU,UE,EI,IA,AU,UU,UO,OO,OU,UA,AA,AE,EE,EO",60,45~67
E A A U I E O E A O O O U E A O O I U A U I E O O O A U E A E O I E O I U A U E U I O I I O E I,"EA,AA,AU,UI,IE,EO,OE,EA,AO,OO,OO,OU,UE,EA,AO,OO,OI,IU,UA,AU,UI,IE,EO,OO,OO,OA,AU,UE,EA,AE,EO,OI,IE,EO,OI,IU,UA,AU,UE,EU,UI,IO,OI,II,IO,OE,EI",48,45~67
I O I O U U U O U I U U E E A A O I I A A I E A I E U A A A I O U O E E I O E E A A E O A I E E A E I I E U E I I,"IO,OI,IO,OU,UU,UU,UO,OU,UI,IU,UU,UE,EE,EA,AA,AO,OI,II,IA,AA,AI,IE,EA,AI,IE,EU,UA,AA,AA,AI,IO,OU,UO,OE,EE,EI,IO,OE,EE,EA,AA,AE,EO,OA,AI,IE,EE,EA,AE,EI,II,IE,EU,UE,EI,II",57,45~67
E I A U U A O I I U I E E E E U A I I I E E O E I I E E A I U E U A A E A I E U E I U U U U O E U O U A,"EI,IA,AU,UU,UA,AO,OI,II,IU,UI,IE,EE,EE,EE,EU,UA,AI,II,II,IE,EE,EO,OE,EI,II,IE,EE,EA,AI,IU,UE,EU,UA,AA,AE,EA,AI,IE,EU,UE,EI,IU,UU,UU,UU,UO,OE,EU,UO,OU,UA",52,45~67
U I U A O A I O I A U U E I U I U U E U E I O E I A I I A I O U I O U O E E A I O O E O I A U O E E E O U,"UI,IU,UA,AO,OA,AI,IO,OI,IA,AU,UU,UE,EI,IU,UI,IU,UU,UE,EU,UE,EI,IO,OE,EI,IA,AI,II,IA,AI,IO,OU,UI,IO,OU,UO,OE,EE,EA,AI,IO,OO,OE,EO,OI,IA,AU,UO,OE,EE,EE,EO,OU",53,45~67
I I A O U O E A U U I A U A U O U U O E U O E A U I U U A I O E I E U U U O U E U A A I A A U U E I O E O,"II,IA,AO,OU,UO,OE,EA,AU,UU,UI,IA,AU,UA,AU,UO,OU,UU,UO,OE,EU,UO,OE,EA,AU,UI,IU,UU,UA,AI,IO,OE,EI,IE,EU,UU,UU,UO,OU,UE,EU,UA,AA,AI,IA,AA,AU,UU,UE,EI,IO,OE,EO",53,45~67
I O U A A I U E A U U A O O U E U O A O A E O E U E I O I E U O U I U I O I U E U I O I O O E U U I E A A E A O E U E O E U U O,"IO,OU,UA,AA,AI,IU,UE,EA,AU,UU,UA,AO,OO,OU,UE,EU,UO,OA,AO,OA,AE,EO,OE,EU,UE,EI,IO,OI,IE,EU,UO,OU,UI,IU,UI,IO,OI,IU,UE,EU,UI,IO,OI,IO,OO,OE,EU,UU,UI,IE,EA,AA,AE,EA,AO,OE,EU,UE,EO,OE,EU,UU,UO",64,45~67
U A U U U O E I E E E U A U O E I A O U E U O O O O A U E O E I U O U O I E O A O A O U O O I U E E I I U O A A O A E,"UA,AU,UU,UU,UO,OE,EI,IE,EE,EE,EU,UA,AU,UO,OE,EI,IA,AO,OU,UE,EU,UO,OO,OO,OO,OA,AU,UE,EO,OE,EI,IU,UO,OU,UO,OI,IE,EO,OA,AO,OA,AO,OU,UO,OO,OI,IU,UE,EE,EI,II,IU,UO,OA,AA,AO,OA,AE",59,45~67
I A A A U I U I O O I A A I I U A I O A U A A E E O I O E A U A E I O O U A U U A A A I E A E E,"IA,AA,AA,AU,UI,IU,UI,IO,OO,OI,IA,AA,AI,II,IU,UA,AI,IO,OA,AU,UA,AA,AE,EE,EO,OI,IO,OE,EA,AU,UA,AE,EI,IO,OO,OU,UA,AU,UU,UA,AA,AA,AI,IE,EA,AE,EE",48,45~67
U I E I U A I E I I A O O U E O U I I I I I U E I U I O I I U A A E U A U E E U U I O E E A U A U O,"UI,IE,EI,IU,UA,AI,IE,EI,II,IA,AO,OO,OU,UE,EO,OU,UI,II,II,II,II,IU,UE,EI,IU,UI,IO,OI,II,IU,UA,AA,AE,EU,UA,AU,UE,EE,EU,UU,UI,IO,OE,EE,EA,AU,UA,AU,UO",50,45~67
U U I U O A E U E A A U E O E E I O I E E U U E U E O U A O U A E I U I O O A U E O O U I I I,"UU,UI,IU,UO,OA,AE,EU,UE,EA,AA,AU,UE,EO,OE,EE,EI,IO,OI,IE,EE,EU,UU,UE,EU,UE,EO,OU,UA,AO,OU,UA,AE,EI,IU,UI,IO,OO,OA,AU,UE,EO,OO,OU,UI,II,II",47,45~67
E U I A E E I I A O A E I O E O E E E U O U U A U U O U O I I I U U A U I E E A U O A O E E A O A U O E U I,"EU,UI,IA,AE,EE,EI,II,IA,AO,OA,AE,EI,IO,OE,EO,OE,EE,EE,EU,UO,OU,UU,UA,AU,UU,UO,OU,UO,OI,II,II,IU,UU,UA,AU,UI,IE,EE,EA,AU,UO,OA,AO,OE,EE,EA,AO,OA,AU,UO,OE,EU,UI",54,45~67
O U A A U O I I O A U I I E U O U E E I E I U I U I O A I A U U U U E O E E U E U O E U U U I A E I O O O I E E A,"OU,UA,AA,AU,UO,OI,II,IO,OA,AU,UI,II,IE,EU,UO,OU,UE,EE,EI,IE,EI,IU,UI,IU,UI,IO,OA,AI,IA,AU,UU,UU,UU,UE,EO,OE,EE,EU,UE,EU,UO,OE,EU,UU,UU,UI,IA,AE,EI,IO,OO,OO,OI,IE,EE,EA",57,45~67
I U U I A I U U U O E E E O U U O A O I O E A A A U I U I I A E O A E I A E A O O E I E U O E U O O A,"IU,UU,UI,IA,AI,IU,UU,UU,UO,OE,EE,EE,EO,OU,UU,UO,OA,AO,OI,IO,OE,EA,AA,AA,AU,UI,IU,UI,II,IA,AE,EO,OA,AE,EI,IA,AE,EA,AO,OO,OE,EI,IE,EU,UO,OE,EU,UO,OO,OA",51,45~67
U A A I U A I O I U I E A E E U I I U A I I E A U O O O U O I A E A O I E E O E O A O E O,"UA,AA,AI,IU,UA,AI,IO,OI,IU,UI,IE,EA,AE,EE,EU,UI,II,IU,UA,AI,II,IE,EA,AU,UO,OO,OO,OU,UO,OI,IA,AE,EA,AO,OI,IE,EE,EO,OE,EO,OA,AO,OE,EO",45,45~67
O O I U A A E I U E I A U I U U A A E U O A U A E E I E A O A E O E A E A E I A E U O E E E E I,"OO,OI,IU,UA,AA,AE,EI,IU,UE,EI,IA,AU,UI,IU,UU,UA,AA,AE,EU,UO,OA,AU,UA,AE,EE,EI,IE,EA,AO,OA,AE,EO,OE,EA,AE,EA,AE,EI,IA,AE,EU,UO,OE,EE,EE,EE,EI",48,45~67
I O I U U A O I O A I U I A E E I U O A E I I U O A I I A U A U O U O O E A U A A E E O O U U I U I A O O I U I I E I U,"IO,OI,IU,UU,UA,AO,OI,IO,OA,AI,IU,UI,IA,AE,EE,EI,IU,UO,OA,AE,EI,II,IU,UO,OA,AI,II,IA,AU,UA,AU,UO,OU,UO,OO,OE,EA,AU,UA,AA,AE,EE,EO,OO,OU,UU,UI,IU,UI,IA,AO,OO,OI,IU,UI,II,IE,EI,IU",60,45~67
E E E I E U I I E E O I U A O O E I A E E I I O A O I O U A A I A A I I I A U E O E A I O U I U O A,"EE,EE,EI,IE,EU,UI,II,IE,EE,EO,OI,IU,UA,AO,OO,OE,EI,IA,AE,EE,EI,II,IO,OA,AO,OI,IO,OU,UA,AA,AI,IA,AA,AI,II,II,IA,AU,UE,EO,OE,EA,AI,IO,OU,UI,IU,UO,OA",50,45~67
E O I A I U E U U E E O I E E I I E E E I U O O U U U O A U A E O U O U I A U A U O U U O E A O O U E O,"EO,OI,IA,AI,IU,UE,EU,UU,UE,EE,EO,OI,IE,EE,EI,II,IE,EE,EE,EI,IU,UO,OO,OU,UU,UU,UO,OA,AU,UA,AE,EO,OU,UO,OU,UI,IA,AU,UA,AU,UO,OU,UU,UO,OE,EA,AO,OO,OU,UE,EO",52,45~67
O I U I U U U E E A E A E I U O U A I E O A U E O I A I O I U O O I E O E O E A A A A U O I I E I I E I E A A I O A E,"OI,IU,UI,IU,UU,UU,UE,EE,EA,AE,EA,AE,EI,IU,UO,OU,UA,AI,IE,EO,OA,AU,UE,EO,OI,IA,AI,IO,OI,IU,UO,OO,OI,IE,EO,OE,EO,OE,EA,AA,AA,AA,AU,UO,OI,II,IE,EI,II,IE,EI,IE,EA,AA,AI,IO,OA,AE",59,45~67
U O E I O I U A U I A U U A U E U U A U A E I U A A U A I U E I E I I I O O E I O I O A A O O E A I U I E I,"UO,OE,EI,IO,OI,IU,UA,AU,UI,IA,AU,UU,UA,AU,UE,EU,UU,UA,AU,UA,AE,EI,IU,UA,AA,AU,UA,AI,IU,UE,EI,IE,EI,II,II,IO,OO,OE,EI,IO,OI,IO,OA,AA,AO,OO,OE,EA,AI,IU,UI,IE,EI",54,45~67
O A I I A O O U U U I E I O O E A E O A I I E E I O A A E A A A U A A U U E O U E I I O O U I I,"OA,AI,II,IA,AO,OO,OU,UU,UU,UI,IE,EI,IO,OO,OE,EA,AE,EO,OA,AI,II,IE,EE,EI,IO,OA,AA,AE,EA,AA,AA,AU,UA,AA,AU,UU,UE,EO,OU,UE,EI,II,IO,OO,OU,UI,II",48,45~67
A A A O O I O O A U A E E U E U U O I U I U O A U A U O A I A A O I U E A U U E U I A I A O O U E A A O O E O U U U A I A I U O,"AA,AA,AO,OO,OI,IO,OO,OA,AU,UA,AE,EE,EU,UE,EU,UU,UO,OI,IU,UI,IU,UO,OA,AU,UA,AU,UO,OA,AI,IA,AA,AO,OI,IU,UE,EA,AU,UU,UE,EU,UI,IA,AI,IA,AO,OO,OU,UE,EA,AA,AO,OO,OE,EO,OU,UU,UU,UA,AI,IA,AI,IU,UO",64,45~67
E I E E A I U E A E E O I U I U E I U O E O O A A O O E O U I E U U A O U I A O I U A O O A O E U U I E I I I A A I A I A O E,"EI,IE,EE,EA,AI,IU,UE,EA,AE,EE,EO,OI,IU,UI,IU,UE,EI,IU,UO,OE,EO,OO,OA,AA,AO,OO,OE,EO,OU,UI,IE,EU,UU,UA,AO,OU,UI,IA,AO,OI,IU,UA,AO,OO,OA,AO,OE,EU,UU,UI,IE,EI,II,II,IA,AA,AI,IA,AI,IA,AO,OE",63,45~67
U E U I A I O O O I A O O A I U E O U E I U O U O I E U I E E E U I A I A I O I A A U I E E O E A,"UE,EU,UI,IA,AI,IO,OO,OO,OI,IA,AO,OO,OA,AI,IU,UE,EO,OU,UE,EI,IU,UO,OU,UO,OI,IE,EU,UI,IE,EE,EE,EU,UI,IA,AI,IA,AI,IO,OI,IA,AA,AU,UI,IE,EE,EO,OE,EA",49,45~67
A O E O E O I O E I O O A O A O U I E I U O A U U O E E U A I A E A E A I E U A U A A O E O A I E O U I O E A E I E,"AO,OE,EO,OE,EO,OI,IO,OE,EI,IO,OO,OA,AO,OA,AO,OU,UI,IE,EI,IU,UO,OA,AU,UU,UO,OE,EE,EU,UA,AI,IA,AE,EA,AE,EA,AI,IE,EU,UA,AU,UA,AA,AO,OE,EO,OA,AI,IE,EO,OU,UI,IO,OE,EA,AE,EI,IE",58,45~67
O U U I I O I U I O U A E I E I I I O U E E U O O A U I A A U E U U O A E U A I O I E E O A E U U A E U U O O A E U U I,"OU,UU,UI,II,IO,OI,IU,UI,IO,OU,UA,AE,EI,IE,EI,II,II,IO,OU,UE,EE,EU,UO,OO,OA,AU,UI,IA,AA,AU,UE,EU,UU,UO,OA,AE,EU,UA,AI,IO,OI,IE,EE,EO,OA,AE,EU,UU,UA,AE,EU,UU,UO,OO,OA,AE,EU,UU,UI",60,45~67
