input,out,len,bins
[](){}[]<<<>>[<>({<>}[([])[{}[]][[]]{{[]}(<()>{}{}<>)}]<>{}){}[()]<{}>{()}]{,}>,76,74~100
[<>{}]<>{{{}}[[](){}({})()(){}{()}]}([<()()()>[[]]()][()][[]][][]{}[][{{}},]),74,74~100
[[][[[]()<<>><>]<<>[()]>[]{}]][<><>(){}<>()(){}<>{}[()]{}(<>)({})[({[]}[]){<>}([])<>][],],87,74~100
<[]<{}><[]>[]<>{[]()}[]<><>([]())[{[{}{<>}[[]()][][]<><>(<<{[]}{}{}()>()[]>)][<>]{()}}][({})],>,93,74~100
{}(<>)[<{}{}[]<>>{()}[]<()[]{}[][{}[]]{{}(<>[{}[{}[]]])[]}<<<()>>{{}}(){}[]>{}<>>[{<[]>}]<>()[(),]],96,74~100
<[<>()<>][][([]){(<[]>)}[([[]][{}({})]<>{}())[]]<><>[]{}({[[]]}{}[]){}{[]<{}>}[]](){}<>[,]>,88,74~100
{(<{}{}()>{{}}<[][]<>[]>{{}[]<>[]{[]}{}})<{}()>}([{}]{})[]{<>[]}{}{}(())<>(,),75,74~100
[{({}{[]}()[])}[]]()([()()[]()()(<>)[]]()[()][]())[{}()[[[]]{}]]<{}>[<>]{}(<[]{}({}<()><>)([][{}],)>),97,74~100
{<>}<{}>(())()({}[]{{<{}<>>[]}(<>)[]}){{}}({<{}>[][()]<>}(<{}([])>()[<>]<>,)),74,74~100
[<[]>[][]]({}()<{}(){}>[]([])<>[]){[]}(({}{<>}){[()<>{}]{}[]<{}>}<>{})[]<>{}[<>][]<><>{}{}(){}{}{,},97,74~100
[]<{}[(<{}>[]{}<>{(()()(){()})[<>][{<>}{{}<[]>}][]}<><>{{}}{[]({})[({})]}(())<<><<()>>>({}))[()](),]>,98,74~100
