input_origin,input_extrapolation,output,len,bins
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 8,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,8,1~9
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 2 times, but halfway through also say woof",dog woof dog,2,1~9
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 5 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,5,1~9
"Say python twice and data once, and then repeat all of this three times.","Say python 7 and data once, and then repeat all of this three times.",python python python python python python python data python python python python python python python data python python python python python python python data,7,1~9
"Say python twice and data once, and then repeat all of this three times.","Say python 2 and data once, and then repeat all of this three times.",python python data python python data python python data,2,1~9
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 3 times, then hippo two times, then feed me four times",hungry hungry hungry hippo hippo feed me feed me feed me feed me,3,1~9
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 3 times, and after every second time add is a stage.",all the world all the world is a stage all the world,3,1~9
"Repeat cat five times. After each time, also say mouse","Repeat cat 3 times. After each time, also say mouse",cat mouse cat mouse cat mouse,3,1~9
"Say hello world five times, but don't say world every even time","Say hello world 5 times, but don't say world every even time",hello world hello hello world hello hello world,5,1~9
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 2 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world,2,1~9
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 8 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,8,1~9
Repeat 5 times hello world,Repeat 8 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world,8,1~9
"Say python twice and data once, and then repeat all of this three times.","Say python 3 and data once, and then repeat all of this three times.",python python python data python python python data python python python data,3,1~9
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 8 times, but halfway through also say woof",dog dog dog dog woof dog dog dog dog,8,1~9
"Say hello world five times, but don't say world every even time","Say hello world 8 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello,8,1~9
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 5 times, but halfway through also say woof",dog dog dog dog dog dog,5,1~9
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 3 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious,3,1~9
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 4,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,4,1~9
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 6 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,6,1~9
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 7 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,7,1~9
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 3 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,3,1~9
Repeat 5 times hello world,Repeat 2 times hello world,hello world hello world,2,1~9
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 4 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage,4,1~9
"Say python twice and data once, and then repeat all of this three times.","Say python 4 and data once, and then repeat all of this three times.",python python python python data python python python python data python python python python data,4,1~9
"Say python twice and data once, and then repeat all of this three times.","Say python 8 and data once, and then repeat all of this three times.",python python python python python python python python data python python python python python python python python data python python python python python python python python data,8,1~9
"Say hello world five times, but don't say world every even time","Say hello world 7 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world,7,1~9
Repeat 5 times hello world,Repeat 3 times hello world,hello world hello world hello world,3,1~9
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 4 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an,4,1~9
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 3,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,3,1~9
"Say hello world five times, but don't say world every even time","Say hello world 6 times, but don't say world every even time",hello world hello hello world hello hello world hello,6,1~9
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 5 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world,5,1~9
"Say python twice and data once, and then repeat all of this three times.","Say python 5 and data once, and then repeat all of this three times.",python python python python python data python python python python python data python python python python python data,5,1~9
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 8 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,8,1~9
"Repeat cat five times. After each time, also say mouse","Repeat cat 8 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,8,1~9
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 4 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,4,1~9
"Say hello world five times, but don't say world every even time","Say hello world 2 times, but don't say world every even time",hello world hello,2,1~9
"Repeat cat five times. After each time, also say mouse","Repeat cat 6 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,6,1~9
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 8 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,8,1~9
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 8 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,8,1~9
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 5 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,5,1~9
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 8 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,8,1~9
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 3 times",Saturday Sunday Saturday Sunday Saturday Sunday,3,1~9
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 4 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district,4,1~9
"Repeat cat five times. After each time, also say mouse","Repeat cat 7 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,7,1~9
Repeat 5 times hello world,Repeat 4 times hello world,hello world hello world hello world hello world,4,1~9
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 5 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,5,1~9
Repeat 5 times hello world,Repeat 6 times hello world,hello world hello world hello world hello world hello world hello world,6,1~9
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 6 times, but halfway through also say woof",dog dog dog woof dog dog dog,6,1~9
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 6 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an,6,1~9
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 2 times, but in the middle also say interesting concept",carbon pricing is an interesting concept carbon pricing is an,2,1~9
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 4 times, but halfway through also say woof",dog dog woof dog dog,4,1~9
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 4 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,4,1~9
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 4 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious,4,1~9
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 2 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious,2,1~9
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 7 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,7,1~9
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 7 times, but halfway through also say woof",dog dog dog dog dog dog dog dog,7,1~9
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 28,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,28,25~34
Repeat 5 times hello world,Repeat 26 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,26,25~34
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 29 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,29,25~34
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 30,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,30,25~34
"Say python twice and data once, and then repeat all of this three times.","Say python 26 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python data,26,25~34
"Say python twice and data once, and then repeat all of this three times.","Say python 29 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data,29,25~34
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 28 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,28,25~34
"Say python twice and data once, and then repeat all of this three times.","Say python 28 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python data,28,25~34
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 25 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog,25,25~34
"Say python twice and data once, and then repeat all of this three times.","Say python 27 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python data,27,25~34
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 32 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,32,25~34
"Repeat cat five times. After each time, also say mouse","Repeat cat 25 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,25,25~34
"Say python twice and data once, and then repeat all of this three times.","Say python 33 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python python data,33,25~34
"Say hello world five times, but don't say world every even time","Say hello world 25 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,25,25~34
"Say hello world five times, but don't say world every even time","Say hello world 28 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello,28,25~34
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 32 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,32,25~34
"Repeat cat five times. After each time, also say mouse","Repeat cat 31 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,31,25~34
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 30 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,30,25~34
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 25 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,25,25~34
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 31 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,31,25~34
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 25 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,25,25~34
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 26 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,26,25~34
Repeat 5 times hello world,Repeat 32 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,32,25~34
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 25 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,25,25~34
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 29 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,29,25~34
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 28 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,28,25~34
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 26 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,26,25~34
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 28 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,28,25~34
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 31,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,31,25~34
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 26 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,26,25~34
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 29 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,29,25~34
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 31 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,31,25~34
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 33 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,33,25~34
"Repeat cat five times. After each time, also say mouse","Repeat cat 32 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,32,25~34
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 27 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,27,25~34
"Repeat cat five times. After each time, also say mouse","Repeat cat 28 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,28,25~34
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 27 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,27,25~34
Repeat 5 times hello world,Repeat 25 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,25,25~34
Repeat 5 times hello world,Repeat 31 times hello world,hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world hello world,31,25~34
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 25 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,25,25~34
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 30 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,30,25~34
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 32 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,32,25~34
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 25 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,25,25~34
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 27 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,27,25~34
