input,target,bins
"I have three flutes, a trombone, a violin, a toaster, and a piano.",7,7~13
"I have an apple, a grape, a blackberry, an onion, two strawberries, an orange, a peach, and a plum.",9,7~13
"I have a snake, a frog, a cow, a lamp, a chicken, a bear, a goat, three ducks, and a fish.",11,7~13
"I have three nectarines, a peach, a blackberry, a grape, an apple, and a plum.",8,7~13
"I have a plum, a strawberry, a banana, a nectarine, a raspberry, an orange, and a peach.",7,7~13
"I have three stoves, a table, five toasters, a couch, and a fridge.",11,7~13
"I have three ovens, a toaster, a stove, a chair, a microwave, two fridges, and a table.",10,7~13
"I have four cabbages, a lettuce head, a stalk of celery, a frog, a fish, a carrot, and a cow.",10,7~13
"I have a dog, a chicken, a mouse, a fish, two donkeys, and three pigs.",9,7~13
"I have a violin, five clarinets, a trumpet, a trombone, a piano, two flutes, and a drum.",12,7~13
"I have a stalk of celery, a garlic, five onions, a lettuce head, and a carrot.",9,7~13
"I have a goat, an apple, a bear, a mouse, a snake, a blackberry, and four raspberries.",10,7~13
"I have a mouse, a rabbit, a donkey, a cow, a chicken, four cats, a bear, and a goat.",11,7~13
"I have three cabbages, a yam, a cauliflower, a head of broccoli, a potato, a garlic, and an onion.",9,7~13
"I have a grape, a clarinet, three plums, a raspberry, and a trombone.",7,7~13
"I have two stalks of celery, a cauliflower, a potato, a cabbage, and two garlics.",7,7~13
